PurchDate,Auction,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,PRIMEUNIT,AUCGUART,BYRNO,VNZIP1,VNST,VehBCost,IsOnlineSale,WarrantyCost
1275350400,OTHER,2006,4,TOYOTA,COROLLA,CE,4D SEDAN CE,GREY,AUTO,1,Alloy,70658,TOP LINE ASIAN,COMPACT,OTHER,6452,7542,9754,11248,6360,7561,9813,11059,,,20833,75061,TX,7165,0,569
1278633600,OTHER,2006,4,CHEVROLET,MALIBU 4C,LT,4D SEDAN LT,SILVER,AUTO,2,Covers,52084,AMERICAN,MEDIUM,GM,7162,8268,10348,11125,7138,8312,10338,11852,,,99750,73108,OK,7300,0,837
1231977600,MANHEIM,2001,8,CHEVROLET,IMPALA 3.8L V6 MFI,LS,4D SEDAN LS,WHITE,AUTO,1,Alloy,72402,AMERICAN,LARGE,GM,2522,3404,3224,4176,2976,4011,3714,4832,,,16926,92337,CA,4720,0,2274
1272412800,MANHEIM,2005,5,JEEP,GRAND CHEROKEE 2WD V,Lar,4D WAGON LAREDO,SILVER,AUTO,1,Alloy,80059,AMERICAN,MEDIUM SUV,CHRYSLER,8852,10604,12755,14233,8371,9948,12793,14212,,,20833,75236,TX,9695,0,2022
1284595200,ADESA,2006,4,CHEVROLET,EQUINOX FWD V6,LT,4D SUV LT,GREY,AUTO,1,Alloy,95696,AMERICAN,MEDIUM SUV,GM,8805,10985,12822,14503,8100,9767,12171,13654,,,52492,28273,NC,8600,0,1630
1233619200,MANHEIM,2005,4,FORD,FOCUS 2.0L I-4 SFI D,ZX4,4D SEDAN ZX4,RED,AUTO,2,Covers,57939,AMERICAN,COMPACT,FORD,3668,4719,4461,5597,3992,5085,4811,5992,,,22916,80022,CO,5710,0,920
1234828800,MANHEIM,2006,3,CHEVROLET,UPLANDER FWD V6 3.5L,LS,PASSENGER EXT 3.5L,SILVER,AUTO,2,Covers,80244,AMERICAN,VAN,GM,7442,9040,8537,10263,8361,10082,9530,11389,,,22916,80022,CO,5480,0,2282
1235347200,OTHER,2006,3,CHEVROLET,MONTE CARLO 3.5L V6,LS,2D COUPE LS,WHITE,AUTO,1,Alloy,70615,AMERICAN,LARGE,GM,6744,7665,7784,8778,7105,8724,8173,9922,,,21053,95673,CA,6005,0,1974
1250640000,MANHEIM,2006,3,CHRYSLER,300 2.7L V6 MPI,Bas,4D SEDAN,GREEN,AUTO,2,Covers,72505,AMERICAN,SPECIALTY,CHRYSLER,9514,11188,10775,12583,9084,10645,10311,11997,,,20833,75236,TX,9040,0,1389
1250208000,ADESA,2005,4,SATURN,VUE 2WD 4C 2.2L I-4,,4D CUV 2.2L,BLUE,MANUAL,2,Covers,56424,AMERICAN,MEDIUM SUV,GM,6013,7727,6994,8845,6221,7892,7219,9023,,,18111,37771,TN,6540,0,1251
1274918400,ADESA,2005,5,DODGE,STRATUS V6,SXT,4D SEDAN,BLUE,AUTO,1,Alloy,68565,AMERICAN,MEDIUM,CHRYSLER,3434,4642,6701,8050,4018,5649,7158,8651,,,17675,28273,NC,4975,0,1215
1231200000,MANHEIM,2006,3,SUZUKI,FORENZA 2.0L I4 EFI,,4D SEDAN,BLUE,AUTO,2,Covers,66110,OTHER ASIAN,MEDIUM,OTHER,4333,5143,5180,6054,4311,5165,5156,6078,,,19638,34761,FL,4350,0,533
1290988800,MANHEIM,2004,6,PONTIAC,GRAND AM V6,GT,4D SEDAN GT,BLACK,AUTO,1,Alloy,100684,AMERICAN,MEDIUM,GM,3574,4820,6749,8248,4187,5300,7210,8332,,,16044,27542,NC,3300,0,2891
1291766400,MANHEIM,2003,7,CHRYSLER,PT CRUISER,Bas,4D SEDAN,RED,AUTO,2,Covers,64131,AMERICAN,MEDIUM,CHRYSLER,3089,3807,6190,6728,3146,3961,6028,6933,NO,GREEN,20928,32824,FL,4150,0,1515
1285804800,OTHER,2009,1,CHRYSLER,SEBRING 4C,LX,4D SEDAN,SILVER,AUTO,2,Covers,40083,AMERICAN,MEDIUM,CHRYSLER,8716,9205,12451,12959,8706,9105,12836,13424,,,99761,85284,AZ,8200,0,834
1235606400,MANHEIM,2005,4,DODGE,STRATUS 4C 2.4L I4 M,SXT,4D SEDAN SXT,SILVER,AUTO,1,Alloy,79049,AMERICAN,MEDIUM,CHRYSLER,4153,5166,4985,6079,5492,7477,6431,8575,,,17212,76040,TX,5110,0,1155
1280880000,MANHEIM,2005,5,CHEVROLET,MALIBU 4C,Cla,4D SEDAN CLASSIC,SILVER,AUTO,2,Covers,91969,AMERICAN,MEDIUM,GM,4524,6125,7652,9522,4259,6073,7338,9915,,,19619,32824,FL,4150,0,1341
1282608000,ADESA,2007,3,CHEVROLET,HHR,LT,4D SUV 2.2L LT,SILVER,AUTO,1,Alloy,46116,AMERICAN,MEDIUM,GM,7283,8972,10698,12472,6947,8181,10814,12310,,,18822,78754,TX,7335,0,623
1250121600,ADESA,2004,5,CHEVROLET,TAHOE 2WD 4.8L V8 SF,LS,4D SUV 4.8L LS,GOLD,AUTO,1,Alloy,84599,AMERICAN,LARGE SUV,GM,9280,10812,10522,12177,7489,8991,8588,10210,,,3453,80817,CO,9760,0,1763
1289433600,ADESA,2007,3,CHRYSLER,PT CRUISER,Bas,4D SEDAN,BLUE,AUTO,2,Covers,78545,AMERICAN,MEDIUM,CHRYSLER,5569,6797,9074,10307,5901,6940,9272,9922,NO,GREEN,52492,28273,NC,5945,0,1389
1247702400,MANHEIM,2005,4,CHEVROLET,IMPALA 3.4L V6 SFI,Bas,4D SEDAN,BLACK,AUTO,2,Covers,50237,AMERICAN,LARGE,GM,4530,5949,5392,6925,4642,6045,5513,7029,,,21053,85353,AZ,5215,0,1500
1252540800,ADESA,2006,3,CHEVROLET,MONTE CARLO 3.9L V6,LT,2D COUPE LT,SILVER,AUTO,2,Covers,53573,AMERICAN,LARGE,GM,7956,9470,9092,10728,7029,8419,11405,12746,,,3453,80817,CO,8300,0,1500
1256515200,OTHER,2004,5,FORD,FREESTAR FWD V6 3.9L,S,PASSENGER 3.9L,WHITE,AUTO,2,Covers,43734,AMERICAN,VAN,FORD,3255,4429,4015,5283,3494,4344,6972,7964,,,99761,85018,AZ,5600,0,1046
1286841600,OTHER,2008,2,PONTIAC,GRAND PRIX,Bas,4D SEDAN,SILVER,AUTO,1,Alloy,88338,AMERICAN,LARGE,GM,8647,10485,13002,14455,8349,9572,12493,13599,,,3453,84104,UT,7035,0,2152
1253059200,OTHER,2006,3,BUICK,TERRAZA FWD V6 3.5L,CX,4D WAGON CX,BLUE,AUTO,2,Covers,79897,AMERICAN,VAN,GM,9330,10692,10576,12047,8752,11353,13384,17361,,,19638,35004,AL,6800,0,2091
1261008000,ADESA,2007,2,CHEVROLET,IMPALA,LS,4D SEDAN LS,BLACK,AUTO,2,Covers,76559,AMERICAN,LARGE,GM,7273,8453,10916,12300,8051,9304,11390,12833,,,17675,28273,NC,6640,0,1974
1260230400,ADESA,2006,3,DODGE,CHARGER,Bas,4D SEDAN,GREY,AUTO,1,Alloy,87056,AMERICAN,SPECIALTY,CHRYSLER,8759,10425,13135,14883,8365,9788,13313,14838,,,20928,45005,OH,7795,0,1503
1269907200,OTHER,2006,4,KIA,RIO,Bas,4D SEDAN,WHITE,AUTO,2,Covers,62962,OTHER ASIAN,COMPACT,OTHER,4558,5208,7308,8294,3310,4089,6409,6968,,,20234,95673,CA,6105,0,533
1242777600,OTHER,2003,6,FORD,TAURUS 3.0L V6 EFI,SE,4D SEDAN SE,GREY,AUTO,1,Alloy,74277,AMERICAN,MEDIUM,FORD,2326,3367,3012,4136,2692,3884,3407,4695,,,835,85009,AZ,4670,0,1220
1253232000,ADESA,2005,4,FORD,FOCUS 2.0L I4 SFI,ZX4,4D SEDAN ZX4,GOLD,AUTO,2,Covers,62210,AMERICAN,COMPACT,FORD,4162,5463,4995,6400,3668,4839,7515,8528,,,16926,91752,CA,4740,0,1020
1249430400,MANHEIM,2006,3,CHEVROLET,IMPALA 3.5L V6 SFI,LS,4D SEDAN LS,WHITE,AUTO,1,Alloy,77398,AMERICAN,LARGE,GM,6867,8151,7916,9303,6892,8199,7943,9355,,,19662,64161,MO,6890,0,1974
1251849600,MANHEIM,2004,5,CHRYSLER,PT CRUISER 2.4L I4 S,Bas,4D SEDAN,BLACK,MANUAL,2,Covers,56429,AMERICAN,MEDIUM,CHRYSLER,3824,4962,4630,5859,3753,4844,4553,5732,,,23359,92807,CA,4895,0,1086
1248825600,MANHEIM,2007,2,DODGE,CALIBER 2.0L I4 SFI,Bas,4D WAGON,GREY,AUTO,2,Covers,34017,AMERICAN,MEDIUM,CHRYSLER,7982,9433,9121,10688,7915,9406,9048,10658,,,20833,75236,TX,6870,0,642
1253577600,OTHER,2008,1,CHRYSLER,PT CRUISER 2.4L I4 S,Bas,4D SEDAN,SILVER,AUTO,2,Covers,52796,AMERICAN,MEDIUM,CHRYSLER,7445,7926,8541,9060,6535,6992,7558,8051,,,99761,74135,OK,6300,0,1086
1277078400,MANHEIM,2007,3,CHEVROLET,IMPALA,LS,4D SEDAN LS,GREY,AUTO,2,Covers,79309,AMERICAN,LARGE,GM,7956,8969,11332,12498,8092,9217,11759,13075,,,99750,27542,NC,7800,0,1974
1273104000,MANHEIM,2003,7,HYUNDAI,ELANTRA,GLS,4D SEDAN,BLUE,AUTO,2,Covers,85934,OTHER ASIAN,MEDIUM,OTHER,2442,3394,5105,6363,2679,3544,5828,7035,,,16926,92337,CA,4695,0,894
1233619200,MANHEIM,2004,5,DODGE,DURANGO 2WD V8 4.7L,Lim,4D SUV 4.7L LIMITED,BLUE,AUTO,1,Alloy,54114,AMERICAN,MEDIUM SUV,CHRYSLER,6844,7564,7892,8669,8267,8959,9428,10176,,,19619,34761,FL,8880,0,1086
1258329600,MANHEIM,2005,4,CHRYSLER,PT CRUISER,Tou,4D SEDAN,PURPLE,AUTO,,,70733,AMERICAN,MEDIUM,CHRYSLER,3833,4859,4640,5748,3771,4728,6928,8323,,,20928,27542,NC,4285,0,1389
1233619200,ADESA,2006,3,CHEVROLET,IMPALA 3.5L V6 SFI,LT,4D SEDAN LT 3.5L,RED,AUTO,2,Covers,57973,AMERICAN,LARGE,GM,6971,8291,8029,9454,7152,8449,8224,9625,,,22808,78754,TX,6710,0,1500
1251158400,MANHEIM,2005,4,CHEVROLET,IMPALA 3.4L V6 SFI,Bas,4D SEDAN,MAROON,AUTO,2,Covers,69699,AMERICAN,LARGE,GM,4661,6094,5534,7082,3944,5200,7258,9129,,,16044,21075,MD,6265,0,1703
1282089600,MANHEIM,2007,3,DODGE,CHARGER V6,Bas,4D SEDAN 2.7L,RED,AUTO,2,Covers,61466,AMERICAN,SPECIALTY,CHRYSLER,9780,11152,13562,15136,9847,11275,13832,15216,,,20234,98064,WA,10485,0,1215
1242086400,OTHER,2006,3,DODGE,STRATUS V6 2.7L V6 M,SXT,4D SEDAN SXT FFV,WHITE,AUTO,2,Covers,57603,AMERICAN,MEDIUM,CHRYSLER,5480,6461,6418,7478,5480,6461,6418,7478,,,99750,37421,TN,4700,0,1086
1286323200,OTHER,2004,6,CHRYSLER,PT CRUISER,Tou,4D SEDAN,BLUE,AUTO,1,Alloy,71389,AMERICAN,MEDIUM,CHRYSLER,3467,4505,6609,7925,3918,4868,6955,7742,NO,GREEN,18880,27407,NC,5800,0,1389
1273104000,OTHER,2008,2,CHRYSLER,PT CRUISER,Bas,4D SEDAN,SILVER,AUTO,2,Covers,49490,AMERICAN,MEDIUM,CHRYSLER,6807,7421,10159,10710,6982,7775,10470,11350,,,99761,74135,OK,6500,0,975
1236643200,MANHEIM,2005,4,FORD,TAURUS 3.0L V6 EFI,SE,4D SEDAN SE,BROWN,AUTO,2,Covers,94797,AMERICAN,MEDIUM,FORD,4179,5141,5013,6052,3999,4874,4819,5764,,,19064,75050,TX,4110,0,1053
1265673600,MANHEIM,2006,4,CHRYSLER,SEBRING V6,Tou,2D CONVERTIBLE TOURING,WHITE,AUTO,1,Alloy,72194,AMERICAN,MEDIUM,CHRYSLER,0,0,0,0,6126,7369,10317,11996,,,20740,21075,MD,6365,0,1272
1264550400,ADESA,2006,4,CHEVROLET,COBALT,LS,4D SEDAN LS,PURPLE,AUTO,2,Covers,59561,AMERICAN,COMPACT,GM,4419,5369,8348,9243,4577,5533,8302,9238,,,18822,77086,TX,5800,0,671
1245110400,ADESA,2006,3,PONTIAC,G6 V6 3.5L V6 SFI,Bas,4D SEDAN,SILVER,AUTO,2,Covers,68307,AMERICAN,MEDIUM,GM,7386,8676,8477,9870,7372,8685,8462,9880,,,20833,78754,TX,7110,0,1118
1279670400,MANHEIM,2006,4,CHEVROLET,HHR,LT,4D SUV 2.2L LS,GOLD,AUTO,,,72387,AMERICAN,MEDIUM,GM,5539,6837,9534,10620,5868,7019,9365,11097,,,18881,37122,TN,8480,0,803
1256601600,OTHER,2007,2,PONTIAC,G6 V6 3.5L V6 SFI,Bas,4D SEDAN SE1,GOLD,AUTO,1,Alloy,64397,AMERICAN,MEDIUM,GM,8162,9456,9315,10712,8265,9546,12557,13754,,,21053,95673,CA,7905,0,1118
1241568000,MANHEIM,2006,3,CHRYSLER,PT CRUISER 2.4L I4 S,Bas,4D SEDAN,BLUE,AUTO,2,Covers,64407,AMERICAN,MEDIUM,CHRYSLER,5443,6528,6378,7550,5443,6528,6378,7550,,,20833,75236,TX,5325,0,1215
1236297600,ADESA,2005,4,DODGE,CARAVAN FWD 4C 2.4L,SE,MINIVAN 2.4L SE,BLUE,AUTO,2,Covers,41017,AMERICAN,VAN,CHRYSLER,4336,5321,5183,6247,4503,5521,5363,6463,,,23359,91752,CA,5340,0,1116
1232409600,MANHEIM,2002,7,CHEVROLET,SUBURBAN 1500 4WD 5.,150,4D UTILITY 5.3L FFV LS,SILVER,AUTO,1,Alloy,94887,AMERICAN,LARGE SUV,GM,5223,6400,6141,7412,6927,8636,7981,9827,,,22916,80022,CO,7880,0,2218
1287532800,ADESA,2005,5,NISSAN,SENTRA,S,4D SEDAN 1.8S,BLUE,AUTO,2,Covers,69734,TOP LINE ASIAN,COMPACT,OTHER,4392,5459,7668,8536,4222,5103,7546,8774,,,52117,20166,VA,6360,0,533
1266192000,ADESA,2003,7,SATURN,VUE 2WD 4C,,4D CUV 2.2L,SILVER,AUTO,2,Covers,63898,AMERICAN,MEDIUM SUV,GM,3510,4398,6661,7299,3496,4508,5960,7288,,,11410,32219,FL,7025,1,1711
1234828800,OTHER,2007,2,FORD,FREESTYLE FWD V6 3.0,SEL,4D CUV 3.0L SEL,BLACK,AUTO,1,Alloy,79012,AMERICAN,CROSSOVER,FORD,11150,13071,12542,14617,12239,14866,13718,16555,,,8655,38637,MS,8295,0,1506
1269907200,MANHEIM,2006,4,MERCURY,MARINER 2WD V6,Bas,4D SUV 3.0L,GREEN,AUTO,1,Alloy,77738,AMERICAN,SMALL SUV,FORD,9523,11908,13549,15763,9311,11218,13502,14714,,,20207,75050,TX,8040,0,920
1266364800,ADESA,2003,7,TOYOTA,CAMRY 4C,LE,4D SEDAN LE,BEIGE,AUTO,2,Covers,86350,TOP LINE ASIAN,MEDIUM,OTHER,5525,6349,8549,9515,5331,6311,8159,9496,,,20833,77086,TX,7620,0,894
1243987200,MANHEIM,2004,5,FORD,FREESTAR FWD V6 3.9L,SE,PASSENGER 3.9L LX,SILVER,AUTO,2,Covers,80234,AMERICAN,VAN,FORD,4041,5420,4864,6354,4041,5420,4864,6354,,,20928,32824,FL,5000,0,1633
1264032000,MANHEIM,2005,5,CHRYSLER,PACIFICA FWD,Tou,4D SPORT,BLUE,AUTO,1,Alloy,63420,AMERICAN,CROSSOVER,CHRYSLER,5880,7211,8806,10746,6647,7884,9634,10939,,,835,85353,AZ,7350,0,1215
1285804800,OTHER,2006,4,CHEVROLET,MALIBU 4C,LT,4D SEDAN LT,BEIGE,AUTO,2,Covers,80524,AMERICAN,MEDIUM,GM,6647,8261,9962,11882,5776,7073,9183,10557,,,25100,73108,OK,6635,0,1113
1259020800,MANHEIM,2005,4,DODGE,DURANGO 2WD V8,SLT,4D SUV 4.7L SLT,RED,AUTO,1,Alloy,82740,AMERICAN,MEDIUM SUV,CHRYSLER,7661,9327,8774,10573,6988,8667,10843,12742,,,19619,34761,FL,7280,0,1503
1254268800,ADESA,2003,6,OLDSMOBILE,ALERO V6 3.4L V6 MPI,GL,4D SEDAN GL,GOLD,AUTO,1,Alloy,68586,AMERICAN,MEDIUM,GM,1950,2621,2606,3331,2982,4137,6221,7613,,,18111,30212,GA,4350,0,2198
1258934400,ADESA,2007,2,KIA,SPECTRA,EX,4D SEDAN EX,GOLD,AUTO,2,Covers,71213,OTHER ASIAN,MEDIUM,OTHER,6230,7435,7228,8530,5346,6405,8899,10467,,,17675,28273,NC,4520,0,569
1273795200,MANHEIM,2004,6,CHEVROLET,MALIBU MAXX V6,LS,4D SEDAN LS,GREEN,AUTO,1,Alloy,74072,AMERICAN,MEDIUM,GM,5651,6974,9054,10394,4804,6059,8054,9239,,,8655,75236,TX,5750,0,1272
1271203200,MANHEIM,2004,6,SATURN,ION,2,4D SEDAN LEVEL 2,GREEN,AUTO,2,Covers,81180,AMERICAN,MEDIUM,GM,4242,5297,7103,8061,3860,5007,6864,7809,,,21973,32824,FL,4650,0,853
1240876800,MANHEIM,2007,2,DODGE,CALIBER 2.0L I4 SFI,Bas,4D WAGON,ORANGE,AUTO,2,Covers,48967,AMERICAN,MEDIUM,CHRYSLER,7925,9430,9059,10684,7925,9430,9059,10684,,,21973,34761,FL,6965,0,693
1248220800,OTHER,2008,1,DODGE,CALIBER 2.0L I4 SFI,SE,4D WAGON,SILVER,AUTO,2,Covers,48820,AMERICAN,MEDIUM,CHRYSLER,7245,7837,8325,8964,7764,8444,8885,9620,,,99761,74135,OK,7000,0,693
1276646400,MANHEIM,2005,5,PONTIAC,GRAND PRIX,Bas,4D SEDAN,BLACK,AUTO,1,Alloy,51414,AMERICAN,LARGE,GM,5148,6673,8320,9959,4953,6493,8053,10557,,,20928,32124,FL,6350,0,1500
1273017600,MANHEIM,2005,5,DODGE,1500 RAM PICKUP 2WD,ST,QUAD CAB 3.7L,SILVER,AUTO,1,Alloy,75804,AMERICAN,LARGE TRUCK,CHRYSLER,7234,8275,10846,11674,6580,7831,10835,12016,,,21973,32824,FL,8150,0,569
1243382400,MANHEIM,2006,3,DODGE,STRATUS V6 2.7L V6 M,SXT,4D SEDAN SXT FFV,BLUE,AUTO,2,Covers,74562,AMERICAN,MEDIUM,CHRYSLER,5480,6461,6418,7478,5480,6461,6418,7478,,,99750,32124,FL,4200,0,1389
1264723200,MANHEIM,2006,4,MAZDA,TRIBUTE 2WD 4C,i,4D SPORT UTILITY I,BLACK,AUTO,1,Alloy,74893,OTHER ASIAN,SMALL SUV,OTHER,6790,7935,10816,11883,8344,10077,11820,13453,,,19619,33314,FL,7030,0,920
1237334400,MANHEIM,2004,5,HYUNDAI,SONATA 4C 2.4L I4 MP,Bas,4D SEDAN,WHITE,AUTO,2,Covers,63606,OTHER ASIAN,MEDIUM,OTHER,3862,4651,4671,5523,3542,4578,4325,5444,,,19638,32824,FL,5000,0,728
1267488000,MANHEIM,2001,9,CHRYSLER,TOWN & COUNTRY FWD V,LXi,MINIVAN 3.8L LXI,SILVER,AUTO,1,Alloy,79335,AMERICAN,VAN,CHRYSLER,3671,4761,6769,8380,3834,4813,6476,7300,,,22808,75050,TX,5625,0,1923
1288051200,MANHEIM,2004,6,DODGE,STRATUS V6,SE,4D SEDAN SE,PURPLE,AUTO,2,Covers,26935,AMERICAN,MEDIUM,CHRYSLER,3111,4561,6327,8067,4010,5868,7071,8716,,,99750,21075,MD,5600,0,882
1291680000,MANHEIM,2006,4,FORD,FOCUS,ZX4,4D SEDAN ZX4,GREEN,AUTO,1,Alloy,103993,AMERICAN,COMPACT,FORD,4059,5308,7792,8675,4829,6314,8262,9355,NO,GREEN,52646,21075,MD,4460,0,1450
1285200000,MANHEIM,2006,4,NISSAN,ALTIMA,Bas,4D SEDAN,GREY,AUTO,1,Alloy,85053,TOP LINE ASIAN,MEDIUM,OTHER,7116,8710,11207,12436,6556,8352,10699,12307,,,835,85353,AZ,7390,0,723
1287360000,MANHEIM,2004,6,DODGE,STRATUS V6,SE,4D SEDAN SE,WHITE,AUTO,2,Covers,39254,AMERICAN,MEDIUM,CHRYSLER,3020,4624,6081,7934,2538,3933,5636,6954,,,17675,27542,NC,5300,0,882
1253491200,MANHEIM,2004,5,CHEVROLET,VENTURE FWD V6 3.4L,LS,PASSENGER 3.4L,WHITE,AUTO,2,Covers,69153,AMERICAN,VAN,GM,3424,5055,4198,5959,3104,4666,6602,9142,,,16044,27542,NC,5000,0,3910
1284508800,MANHEIM,2006,4,SATURN,ION,2,4D SEDAN LEVEL 2,SILVER,AUTO,2,Covers,71225,AMERICAN,MEDIUM,GM,4973,6159,7795,9088,4720,5971,8018,9070,,,21973,32824,FL,5150,0,803
1291766400,OTHER,2008,2,CHEVROLET,IMPALA V6,LS,4D SEDAN LS 3.5L FFV,BLACK,AUTO,2,Covers,82403,AMERICAN,LARGE,GM,7790,8687,11791,12736,9149,10613,12848,14201,NO,GREEN,17212,76063,TX,8300,0,2152
1275609600,OTHER,2005,5,CHEVROLET,VENTURE FWD V6,LS,PASSENGER EXT 3.4L LS,GOLD,AUTO,1,Alloy,87615,AMERICAN,VAN,GM,4233,5243,7559,8975,4243,5543,7736,9313,,,8172,30120,GA,6000,0,5092
1251244800,MANHEIM,2008,1,CHEVROLET,IMPALA V6 3.5L V6 SF,LS,4D SEDAN LS 3.5L FFV,BLUE,AUTO,2,Covers,87658,AMERICAN,LARGE,GM,9439,10646,10694,11998,10292,11226,11615,12624,,,5546,33809,FL,7030,0,2152
1233792000,MANHEIM,2006,3,JEEP,GRAND CHEROKEE 2WD V,Lar,4D WAGON LAREDO,SILVER,AUTO,1,Alloy,63079,AMERICAN,MEDIUM SUV,CHRYSLER,9268,10769,10509,12131,4400,5922,5252,6896,,,16044,22403,VA,8230,0,1508
1260835200,OTHER,2006,3,CHEVROLET,AVEO,LS,4D SEDAN LS,GREY,AUTO,1,Alloy,62632,AMERICAN,COMPACT,GM,3594,4485,7441,9286,3450,4288,7280,9048,,,21053,95673,CA,4490,0,728
1244592000,ADESA,2004,5,FORD,TAURUS 3.0L V6 EFI,SES,4D SEDAN SES,GREY,AUTO,1,Alloy,77873,AMERICAN,MEDIUM,FORD,3275,4325,4037,5171,3206,4268,3962,5109,,,21053,85226,AZ,4150,0,920
1238544000,MANHEIM,2003,6,CHEVROLET,TAHOE 2WD 5.3L V8 SF,LS,4D SUV 5.3L FFV LT,BLUE,AUTO,,,75375,AMERICAN,LARGE SUV,GM,8275,10383,9437,11714,8275,10383,9437,11714,,,20833,75236,TX,10050,0,1923
